Product Name,Barcode,URL,URL 1,URL 2,URL 3,URL 4,URL 5,Video_URL,Video_URL1,Video_URL2,Video_URL3,Video_URL4
Fra-Ber Lava Interni Ultra Yoğun Konsantre Detaylı Kumaş Temizleyici (1:100 Konsantre) - 5 kg,71676,,,,,,,,,,,
"Innova Car Innovacar Sp1 Prewash Enzimli Ön Yıkama Şampuanı Konsantre - 4,54 Lt",79281,,,,,,,https://www.youtube.com/watch?v=MU0Q2i-YCh4,,,,
Gyeon Q2M Dispenser Bottle - Dağıtıcı Şişe 300ML,Q2M-P-DB300M,,,,,,,https://www.youtube.com/watch?v=BJbuNriMiR8,,,,
Gyeon Q²m Eco Wash Seramik Katkılı Susuz Yıkama Yüzey Temizleyici ve Parlatıcı Cila - 500 ml,Q2M-EW500M,,,,,,,https://www.youtube.com/watch?v=_uz5gAwHeqI,https://www.youtube.com/watch?v=87AcShdmzu4,,,
Fra-Ber Lavavetro Estıvo Cam Suyu Katkısı Parfümlü - 250 ml,701605,,,,,,,,,,,
Fra-Ber Ultra Foam Yoğun Köpüklü Cilalı Ön Yıkama Şampuanı - 5 Kg,701980,,,,,,,,,,,
Gyeon Quartz Q1 Premium Maskeleme Bantı 36mm x 50 mm 1 Adet,MT13650M,,,,,,,,,,,
Fra-Ber Det Leather Araç Deri Koltuk Temizleyici ve Bakım – 750 ml,71132,,,,,,,https://www.youtube.com/watch?v=gKttnxEMhaA,,,,
Fra-Ber Lustradry Susuz Yüzey Temizleyici ve Parlatıcı - 750 ml,75016,,,,,,,https://www.youtube.com/watch?v=nmJundbtITg,,,,
Gyeon Q²m Clay Coarse Evo Agresif Yüzey Temizleyici Kil Hamuru - 100 gr -Kimyasala Dayanıklı,Q2M-CCE,,,,,,,https://www.youtube.com/watch?v=qnOLx4YzcA4,https://www.youtube.com/watch?v=hymoCw4Equo,,,
Menzerna Ağır Kesim Kalın Pasta Süngeri 2li Paket (Kırmızı) - 95MM,26907.099.001,,,,,,,,,,,
Fra-Ber Camper Wash Karavan Şampuanı Siyah Leke Giderici Konsantre - 1000 ml,701851,,,,,,,,,,,
Gyeon Q²m Ppf Slip Ppf Folyo Montaj Yapıştırma Sıvısı Yoğun Konsantre - 1000 ml,Q2M-PPFSL1000M,,,,,,,,,,,
Menzerna One Step Polish 3 in 1 Hepsi Bir Arada Pasta-Cila 1 Lt,22748.261.001,,,,,,,https://www.youtube.com/watch?v=fH7M1dFTLZ4,,,,
Innovacar Ds Scale Asidik Temizleyici ve Kireç Sökücü Şampuan Konsantre - 1 Lt,79290,,,,,,,https://www.youtube.com/watch?v=0-jRIRSf0EE,https://www.youtube.com/watch?v=fJiMOVT_7CM,,,
Fra-Ber Poker Yüksek Konsantre Fırçasız Ön Yıkama Şampuanı ve Yağ Çözücü (1:100 Konsantre),70942,,,,,,,,,,,
Menzerna Heavy Cut AS30 Pasta 1 kg,14992.203.001,,,,,,,,,,,
Fra-Ber Kimyasala Dayanıklı Basınçlı Pompa - 2 Lt,700743,,,,,,,,,,,
Gyeon Q² Mohs Evo Light Box Seramik Kaplama - 30 ml - 9h Oto Boya Koruma-Su Itici,Q2-MLE30M,,,,,,,https://www.youtube.com/watch?v=oimBeG3NB1g,https://www.youtube.com/watch?v=5GQ8YT1rUCg,https://www.youtube.com/watch?v=9HhIhYyoPic,,
Menzerna Power Lock Ultimate Protection-Üstün Boya Koruma 250 ml,22070.281.001,,,,,,,https://www.youtube.com/watch?v=rlDx88eUy1M,,,,
Menzerna 495P Parlatıcı Katı Cila Beyaz Plastik Kompozit Değerli Metaller Boyalı Yüzey Parlatıcı,07006.056.001,,,,,,,,,,,
Gyeon Q²m Bathe Ph Nötr Cilalı Oto Şampuanı - 4000 ml -Yüksek Konsantre Jel Araç Yıkama Köpük,Q2M-BYA4000M,,,,,,,https://www.youtube.com/watch?v=txHNMArgnHY&t=3s,https://www.youtube.com/watch?v=elrWzllVArI,https://www.youtube.com/watch?v=txHNMArgnHY&t=3s,,
Fra-Ber Gommalux Uzun Süreli Lastik Parlatıcı ve Koruyucu Sprey - 750 ml,70868,,,,,,,https://www.youtube.com/watch?v=N07puaymcVo,https://www.youtube.com/watch?v=9wWofr0CS9g,https://www.youtube.com/watch?v=2pZdnq4vslc,,
Gyeon Q²m Silkdryer Evo Mikrofiber Kurulama Havlusu 50X55 cm,HBCV0000797PKN,,,,,,,,,,,
Gyeon Q²m Compound+ Plus Redefıned Ağır Çizik Giderici Kalın Pasta - 120 ml,Q2M-CMPR120M,,,,,,,https://www.youtube.com/watch?v=U0l-9BF1dG8,,,,
Menzerna GW18 Kesici Katı Cila Bej Plastik Kompozit Boyalı Yüzey Parlatıcı – 1150 gr,12001.056.001,,,,,,,,,,,
Menzerna 3000 Final Finish Hare Giderici Cila 1 Lt,22029.261.001,,,,,,,https://www.youtube.com/watch?v=-RoZ9KPikek,https://www.youtube.com/watch?v=aukysTAYVLM,,,
Gyeon Q² QuickView Cam Su Kaydırıcı - 120 ml -Yağmur Kaydırıcı Su İtici,Q2-QV120M,,,,,,,https://www.youtube.com/watch?v=9y_RFgb3phU,https://www.youtube.com/watch?v=cWcfEqTfA8w,https://www.youtube.com/watch?v=_uATOdROs3U,https://www.youtube.com/watch?v=uNLhZ6NRlgI,
"Menzerna Premium Kuzu Yünü Polisaj Keçesi 90 Mm/3,5""",26913.099.001,,,,,,,,,,,
Gyeon Q² Purifymaintain Antibakteriyel Yüzey Temizlik ve Bakım Spreyi - 500 ml,Q2M-PM500M,,,,,,,https://www.youtube.com/watch?v=72WE5Hi1fnE,,,,
Gyeon Q²m Restartwash Seramik Kaplama Ppf Yenileyici Asidik Şampuan - 1000 ml -Konsantre,Q2M-RWYA1000M,,,,,,,https://www.youtube.com/watch?v=pcubF02SRNw,https://www.youtube.com/watch?v=YGNZ0eg0Mnk,,,
FRA-BER Lustratouch Boya Koruyucu Ve Parlatıcı - 750 ml,75215,,,,,,,https://www.youtube.com/watch?v=zlcfYAqgq3w,https://www.youtube.com/watch?v=TsNS-Aumt4Q,,,
Gyeon Q2M Ppf Renew 1000 ml,Q2M-PPR1000M,,,,,,,https://www.youtube.com/watch?v=i0iuyUcQ2dM,,,,
